"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-07","12.97",,"0.00","0.0","0.0","44","48","37","  320","  310","25.1","30.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-08","17.67",,"0.00","0.0","0.0","38","46","32","  300","  290","29.1","38.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-09","12.53",,"0.00","0.0","0.0","37","45","30","  180","  190","21.9","25.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-10","10.51",,"0.01","0.0","0.0","42","51","37","  330","  300","19.9","28.0","    1",,,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-11","10.29",,"0.00","0.0","0.0","42","49","31","  180","  180","21.0","23.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-12","13.87",,"0.00","0.0","0.0","46","54","40","  190","  190","31.1","38.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-13","12.75",,"0.00","0.0","0.0","56","70","48","  190","  170","21.0","25.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-14","12.30",,"0.00","0.0","0.0","55","67","45","   80","   90","32.0","40.9","    1",,,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-15","20.36",,"0.25","0.0","0.0","43","45","38","   70","   60","28.0","36.0","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-16","24.16",,"1.53","0.0","0.0","47","57","40","  120","  120","40.9","50.1","    1",,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-17","17.90",,"0.00","0.0","0.0","45","48","39","  270","  290","25.9","33.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-18","14.99",,"0.00","0.0","0.0","44","53","37","  230","  260","23.0","28.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-19","14.09",,"0.15","0.0","0.0","45","48","38","  310","  300","29.1","36.9","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-20","18.79",,"0.00","0.0","0.0","43","52","36","  320","  310","28.0","34.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-21","11.63",,"0.00","0.0","0.0","47","61","38","  190","  200","23.0","28.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2018-04-22","10.51",,"0.00","0.0","0.0","51","61","41","  190","  190","23.0","27.1",,,,,,,,
